instance_id,workload,seed,adapter,variant,adapter_version,backend_mode,run_status,error_category,capability_absent_observed,correctness_included,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,leak_rate,supersession_consistency,scope_bypass_rate,latency,latency_ms,any_violation,violations,committed_count,operation_count,repair_count
crash_during_commit_seed_6,crash_during_commit,6,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.090215,1,recovery_consistency_violation,1,4,0
crash_during_commit_seed_7,crash_during_commit,7,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08922,1,recovery_consistency_violation,1,4,0
crash_during_commit_seed_8,crash_during_commit,8,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.090444,1,recovery_consistency_violation,1,4,0
crash_during_commit_seed_9,crash_during_commit,9,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,partial_commit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.088634,1,recovery_consistency_violation,1,4,0
revoke_before_commit_seed_0,revoke_before_commit,0,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.103084,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_1,revoke_before_commit,1,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.090508,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_2,revoke_before_commit,2,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.092162,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_3,revoke_before_commit,3,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.090986,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_4,revoke_before_commit,4,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.097363,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_5,revoke_before_commit,5,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.091374,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_6,revoke_before_commit,6,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.093166,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_7,revoke_before_commit,7,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.089161,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_8,revoke_before_commit,8,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.098132,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_9,revoke_before_commit,9,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.096797,1,invalid_commit_violation;stale_write_violation,1,4,0
scope_bypass_seed_0,scope_bypass,0,LastWriteWins,LastWriteWins,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.112261,1,scope_leak_violation,0,4,0
